id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
750096307898645963,Hotel in Montréal · ★4.76 · 1 bedroom · 2 beds · 1 private bath,483450512,Lincoln,,Ville-Marie,45.49057,-73.58394,Private room,203,31,17,2023-11-26,1.34,4,286,15,"508701, expires: 2024-01-31"
690601727349319522,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Ville-Marie,45.49161,-73.57538,Entire home/apt,142,31,0,,,138,9,0,
994982719477257305,Rental unit in Montréal · ★5.0 · 1 bedroom · 2 beds · 1 bath,540370514,Lola,,Ville-Marie,45.5016794,-73.5599191,Entire home/apt,183,2,8,2023-11-26,3.81,1,70,8,"301038, expires: 2024-02-01T01:00:00Z"
621282163172659064,Rental unit in Montréal · ★4.33 · 2 bedrooms · 2 beds · 1 bath,153379835,Williams,,Lachine,45.44645,-73.64334,Entire home/apt,110,31,18,2023-08-01,0.93,2,0,2,
927629437630951678,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,49259573,Nicolás,,Ville-Marie,45.52842,-73.56096,Private room,48,31,0,,,3,0,0,
653753007096673646,Rental unit in Montréal · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,464729941,Gilles Michael,,Ville-Marie,45.53257,-73.55194,Private room,40,31,27,2023-06-28,1.52,1,0,6,
786422979700416723,Rental unit in Montréal · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,179051420,Samantha,,Le Sud-Ouest,45.45607769824471,-73.6002899110406,Private room,26,31,4,2023-08-18,0.52,1,0,4,
932751033953158112,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,99148717,Nyssa,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.495175,-73.6123483,Entire home/apt,800,31,0,,,1,270,0,
903501744169783078,Hotel in Montréal · ★3.0 · 1 bedroom · 1 bed · 6 baths,466591044,King,,Le Sud-Ouest,45.46124022659347,-73.59605557855836,Private room,119,31,4,2023-08-14,0.92,5,365,4,"297525, expires: 2024-06-30"
570936726490513648,Condo in Montréal · Studio · 1 bed · 1 bath,133566690,Yan,,Mercier-Hochelaga-Maisonneuve,45.58842,-73.5101,Entire home/apt,53,32,1,2023-01-28,0.09,1,0,1,
906653229513525908,Rental unit in Montréal · 1 bedroom · 2 beds · 1 bath,64982789,Lili,,Villeray-Saint-Michel-Parc-Extension,45.54601971239118,-73.62080526650945,Entire home/apt,56,32,0,,,1,0,0,
840105613892691300,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,70260418,Carolyn,,Le Plateau-Mont-Royal,45.511744380711214,-73.57115780575238,Entire home/apt,77,300,0,,,1,256,0,
851639952700369682,Rental unit in Montréal · ★4.08 · 2 bedrooms · 2 beds · 1 bath,481594317,Helene,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48170678646369,-73.62368084291434,Entire home/apt,132,31,13,2023-11-12,1.83,10,78,13,"308201, expires: 2023-12-31"
858018379969857664,Townhouse in Montréal · 4 bedrooms · 4 beds · 4 baths,209835672,Ruslan,,Ville-Marie,45.496044124045774,-73.57696033789618,Entire home/apt,150,31,1,2023-11-16,1,1,0,1,
697643738766682015,Condo in Montréal · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,10261376,Hadas,,Le Sud-Ouest,45.48025060175682,-73.58715611904907,Entire home/apt,210,3,27,2023-12-03,1.80,1,0,21,"313080, expires: 2024-04-25"
675900372886455540,Home in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 private bath,159334274,Sophie,,Outremont,45.516140947093916,-73.61444016526711,Private room,120,2,20,2023-11-26,2.87,1,0,20,"312142, expires: 2024-02-22"
929677168130921720,Rental unit in Montréal · 3 bedrooms · 3 beds · 1 bath,19283062,Cedric,,Le Plateau-Mont-Royal,45.52956382200602,-73.56366281794715,Entire home/apt,60,58,1,2023-09-30,0.40,1,0,1,
53341417,Rental unit in Montréal · 1 bedroom · 2 beds · 1.5 baths,22163622,Catherine,,Rosemont-La Petite-Patrie,45.53672,-73.61284,Entire home/apt,55,31,0,,,1,0,0,
764494480339492045,Rental unit in Montréal · 2 bedrooms · 2 beds · 1.5 baths,268071058,Vicky,,Le Sud-Ouest,45.49408,-73.55943,Entire home/apt,140,31,0,,,1,364,0,
768142717512365973,Rental unit in Montréal · ★4.67 · 1 bedroom · 1 bed · 1 bath,67513173,Olia,,Ahuntsic-Cartierville,45.53191116501622,-73.7210630030881,Entire home/apt,135,31,6,2023-07-29,0.78,1,0,6,
957369489161101768,Rental unit in Montréal · 1 bedroom · 1 bed · 2 baths,41172542,Danyele,,Ville-Marie,45.5319284449623,-73.55687369435505,Entire home/apt,61,31,0,,,2,3,0,
53706836,Rental unit in Montréal · 1 bedroom · 1 bed · 1 shared bath,257352098,Sarah,,Mercier-Hochelaga-Maisonneuve,45.54204,-73.55132,Private room,16,31,1,2022-02-12,0.04,1,0,0,
958144378418951412,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,4587187,Lofts Du Vieux-Port,,Ville-Marie,45.50746652020784,-73.55421254162233,Entire home/apt,,31,0,,,10,0,0,"246411, expires: 2024-01-31"
19603938,Rental unit in Montréal · 2 bedrooms · 1 bed · 1 bath,137834206,Mircea,,Saint-Laurent,45.50046,-73.70112,Entire home/apt,,55,0,,,1,0,0,
49245946,Rental unit in Montréal · ★4.70 · 1 bedroom · 1 bed · 1 bath,223679880,Kas,,Ville-Marie,45.50479,-73.55489,Entire home/apt,156,2,46,2023-11-12,2.02,48,0,18,"301259, expires: 2024-02-28"
1008697298648444733,Rental unit in Montréal · ★New · 3 bedrooms · 3 beds · 2 baths,1603912,Dalal,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47378627549814,-73.62386851882614,Entire home/apt,220,31,0,,,1,180,0,
1020968771869749131,Rental unit in Montréal · ★New · 2 bedrooms · 2 beds · 2 baths,65353360,Tarek,,Ville-Marie,45.500398836457755,-73.57801337642331,Entire home/apt,154,62,0,,,2,23,0,
52306615,Rental unit in Montréal · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,356522751,Joey,,Lachine,45.44316,-73.65155,Private room,45,31,5,2023-11-26,0.19,9,0,2,
971629578406045915,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,7983086,Amir,,Le Sud-Ouest,45.46938119615341,-73.59258113235447,Entire home/apt,55,31,0,,,16,160,0,
53127405,Bungalow in Dorval · ★5.0 · 1 bedroom · 1 bed · 1 private bath,7632047,Alice,,Dorval,45.45321,-73.77074,Private room,145,1,35,2023-09-29,1.68,1,312,7,"313994, expires: 2024-06-06"
12207240,Condo in Montreal · ★4.33 · 1 bedroom · 1 bed · 1 bath,43087418,Zack,,Ville-Marie,45.49326,-73.58274,Entire home/apt,150,380,3,2016-09-06,0.03,1,0,0,
41925183,Rental unit in Montréal · 1 bedroom · 1 bed · 1 shared bath,246237983,Julienne,,Ville-Marie,45.53268,-73.55113,Private room,60,32,2,2020-03-08,0.04,3,365,0,
573924,Rental unit in Verdun · ★4.60 · 1 bedroom · 1 bed · 1 bath,1016614,Home In Montreal,,Verdun,45.46716,-73.57171,Entire home/apt,99,90,10,2023-08-31,0.07,11,0,1,
842128,Rental unit in Montreal · 2 bedrooms · 2 beds · 2 baths,4393679,Animesh,,Ville-Marie,45.49272,-73.56501,Entire home/apt,,60,0,,,1,0,0,
1012829852126605447,Rental unit in Montréal · ★New · 1 bedroom · 1 bed · 1 bath,156816023,Viet Hung,,Villeray-Saint-Michel-Parc-Extension,45.54879369897305,-73.6167067898541,Private room,23,31,0,,,12,251,0,
6662080,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,34871499,Jean,,Rosemont-La Petite-Patrie,45.54733,-73.58788,Entire home/apt,78,31,8,2017-07-03,0.08,1,0,0,
14993474,Rental unit in Montréal · ★4.88 · 1 bedroom · 1 bed · 1 bath,22382835,Ondine,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47616,-73.61909,Entire home/apt,92,31,123,2023-08-26,1.40,1,0,7,"301611, expires: 2024-05-28T00:00:00Z"
5162271,Rental unit in Montréal · ★4.59 · Studio · 2 beds · 1 bath,26419277,Mathieu,,Ville-Marie,45.52307,-73.55761,Entire home/apt,86,31,54,2022-08-20,0.52,8,0,0,
